Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
OTP,LMP,,29.1034,28.5565,27.5877,28.5155,28.6545,26.0243,23.4372,23.5399,23.8978,24.4983,24.9526,29.4182,46.5098,35.4774,33.639,33.9251,30.4802,26.1897,25.7776,27.2372,26.1528,26.8526,29.514,34.4202
OTP,LMP,,34.3673,27.6598,26.1261,26.9138,25.8185,25.1167,25.7603,44.3882,22.2452,20.4721,20.5048,22.3084,27.65,30.337,28.1744,289.8969,33.5138,23.2124,19.6832,19.3299,19.1538,19.3185,20.3207,21.3372
OTP,LMP,,23.3598,23.7333,21.0672,23.2017,26.8087,25.157,20.3295,21.6104,21.2785,22.9527,23.0519,22.4717,22.8808,27.3157,22.9441,22.3918,22.0686,17.3442,11.2801,12.6055,9.7268,9.0302,17.8033,18.6
OTP,LMP,,17.857,16.8424,21.3903,14.4192,9.0576,6.3749,20.0724,7.0593,13.3422,17.663,18.6079,33.6856,43.442,26.8813,17.5643,22.561,15.8728,19.4629,17.9251,17.9689,8.875,10.249,15.2019,21.4467
OTP,LMP,,21.9809,27.0955,23.6711,27.6198,25.226,24.5297,23.0221,19.2023,19.4882,19.1345,33.3224,25.1727,62.6185,35.4593,22.7397,23.0952,23.6201,18.611,11.0257,16.9972,16.6224,18.5082,21.7541,26.7892
OTP,LMP,,35.3956,32.6382,26.6656,26.6177,34.8338,49.7089,59.332,29.1561,32.7606,37.5884,54.8444,65.4922,63.4268,106.2332,65.5687,51.8904,101.5455,36.5899,51.5152,38.3777,32.3646,32.8946,58.6987,157.7621
OTP,LMP,,39.4136,38.3842,28.3209,24.371,21.5314,19.6289,19.4725,21.4934,22.5466,22.7209,23.2552,31.417,81.8803,102.1695,34.4118,41.1009,106.4786,27.7321,32.6652,111.9604,34.0575,38.6304,26.3003,83.1617
OTP,LMP,,41.0321,31.0591,27.504,26.0798,23.8895,22.6217,21.0815,20.7709,20.1237,19.6547,21.3016,22.1637,23.2362,24.3588,24.5087,28.0143,21.6346,23.6784,18.5905,18.9729,18.0233,17.7889,17.6968,16.904
OTP,LMP,,15.1981,13.5873,14.4191,9.3618,0.9154,6.418,12.5406,10.1463,15.0356,13.3328,13.5534,17.6021,3.8364,15.758,15.9986,18.5423,16.8374,15.1665,4.2534,6.0632,8.3365,7.1004,9.6301,7.2983
OTP,LMP,,16.9469,8.1406,9.6284,7.978,9.1775,2.4551,19.1187,9.1193,8.0337,8.483,8.6959,12.6599,11.2755,17.6708,16.1081,20.552,21.0342,19.017,15.8628,13.0971,17.6071,14.8967,16.6214,18.5404
OTP,LMP,,17.9591,13.0998,12.0015,12.3402,10.7674,-3.3945,26.3121,12.3429,-8.2313,-1.8413,13.6657,14.1346,16.2698,17.3117,17.2101,18.7982,20.8739,20.2239,21.3438,21.8621,23.2506,22.4882,23.2382,23.8539
OTP,LMP,,26.4258,25.5399,21.2624,20.8827,28.7778,33.0912,21.5489,30.0218,47.042,38.7549,30.8739,71.5171,45.249,186.6915,56.215,127.0301,54.9387,25.3051,116.2638,21.8985,24.4789,40.104,33.8909,114.1473
OTP,LMP,,305.5143,26.2568,26.895,31.9565,60.2656,21.6968,25.6102,21.4714,33.0364,22.4235,26.3684,21.7353,22.0329,29.2384,22.8471,26.8896,25.997,26.4181,24.9507,22.8362,23.2528,22.2008,22.4254,24.0488
OTP,LMP,,42.0728,23.5815,41.8571,23.1705,23.631,20.0367,22.0909,23.1121,24.7495,20.3044,33.4698,17.8823,22.2611,77.2742,20.9319,21.7022,21.2897,20.8138,20.3308,19.4183,18.7546,18.341,18.8625,19.9567
